X1,X2,X3,X4,X5,X6,X7
대한민국 제19대 대통령 선거,대한민국 제19대 대통령 선거,대한민국 제19대 대통령 선거,대한민국 제19대 대통령 선거,대한민국 제19대 대통령 선거,대한민국 제19대 대통령 선거,대한민국 제19대 대통령 선거
기호,후보명,정당,득표수,득표율,순위,당선여부
1,문재인,더불어민주당,"13,423,800",41.08%,1위,당선
2,홍준표,자유한국당,"7,852,849",24.03%,2위,낙선
3,안철수,국민의당,"6,998,342",21.41%,3위,낙선
4,유승민,바른정당,"2,208,771",6.76%,4위,낙선
5,심상정,정의당,"2,017,458",6.17%,5위,낙선
6,조원진,새누리당,"42,949",0.13%,6위,낙선
7,오영국,경제애국당,"6,040",0.01%,13위,낙선
8,장성민,국민대통합당,"21,709",0.06%,9위,낙선
9,이재오,늘푸른한국당,"9,140",0.02%,12위,낙선
10,김선동,민중연합당,"27,229",0.08%,8위,낙선
11,남재준,통일한국당,사퇴,사퇴,사퇴,사퇴
12,이경희,한국국민당,"11,355",0.03%,11위,낙선
13,김정선,한반도미래연합,사퇴,사퇴,사퇴,사퇴
14,윤홍식,홍익당,"18,543",0.05%,10위,낙선
15,김민찬,무소속,"33,990",0.1%,7위,낙선
선거인수,선거인수,선거인수,"42,479,710",투표수,투표수,"32,807,908"
무효표수,무효표수,무효표수,"135,733",투표율,투표율,77.2%
